[Tipo],[Moeda],[Empresa],[Vertical],[Stream],Agrupador,Periodo,Ano,[Valor]
Actual,BRL,Dojo,Health,Data & AI (Dojo),Deductions and taxes,2024-11,2024,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Deductions and taxes,2024-12,2024,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Deductions and taxes,2025-01,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Deductions and taxes,2025-02,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Deductions and taxes,2025-03,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Deductions and taxes,2025-04,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Deductions and taxes,2025-05,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Deductions and taxes,2025-06,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Deductions and taxes,2025-07,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Deductions and taxes,2025-08,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Deductions and taxes,2025-09,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Deductions and taxes,2025-10,2025,-904.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Deductions and taxes,2025-11,2025,-904.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Deductions and taxes,2025-12,2025,-904.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),General and administrative expenses,2025-01,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Gross revenue,2024-10,2024,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Gross revenue,2024-11,2024,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Gross revenue,2024-12,2024,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Gross revenue,2025-01,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Gross revenue,2025-02,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Gross revenue,2025-03,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Gross revenue,2025-04,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Gross revenue,2025-05,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Gross revenue,2025-06,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Gross revenue,2025-07,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Gross revenue,2025-08,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Gross revenue,2025-09,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Gross revenue,2025-10,2025,16000.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Gross revenue,2025-11,2025,16000.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Gross revenue,2025-12,2025,16000.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Third-party costs,2024-10,2024,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Third-party costs,2024-11,2024,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Third-party costs,2024-12,2024,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Third-party costs,2025-01,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Third-party costs,2025-02,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Third-party costs,2025-03,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Third-party costs,2025-04,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Third-party costs,2025-05,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Third-party costs,2025-07,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Third-party costs,2025-08,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Third-party costs,2025-09,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),Travel expenses,2024-11,2024,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),,2025-04,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),,2025-07,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),,2025-08,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),,2025-09,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),,2025-10,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),,2025-11,2025,0.0
Actual,BRL,Dojo,Health,Data & AI (Dojo),,2025-12,2025,0.0
Actual,BRL,Dojo,Health,NextGen Services,,2025-08,2025,0.0
Actual,BRL,Dojo,Health,NextGen Services,,2025-09,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Deductions and taxes,2025-03,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Deductions and taxes,2025-04,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Deductions and taxes,2025-05,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Deductions and taxes,2025-07,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Deductions and taxes,2025-10,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Deductions and taxes,2025-11,2025,-12543.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Gross revenue,2025-03,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Gross revenue,2025-04,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Gross revenue,2025-05,2025,0.0
