empresa,agrupador_fpa,FiscalYear,FiscalPeriod,AmountInCompanyCodeCurrency
FCamara,Third-party expenses,2025,10,1927414.81
FCamara,Third-party expenses,2025,11,2031989.96
FCamara,Third-party expenses,2025,12,1795135.51
FCamara,Travel expenses,2025,7,132720.38
FCamara,Travel expenses,2025,8,36290.51
FCamara,Travel expenses,2025,9,184798.64
FCamara,Travel expenses,2025,10,103611.25
FCamara,Travel expenses,2025,11,142829.08
FCamara,Travel expenses,2025,12,209544.13
Hyper,Consulting expenses,2025,7,3854.17
Hyper,Consulting expenses,2025,8,12595.32
Hyper,Consulting expenses,2025,9,-9262.649999999998
Hyper,Consulting expenses,2025,10,32212.910000000003
Hyper,Consulting expenses,2025,11,227801.62
Hyper,Consulting expenses,2025,12,81835.36
Hyper,Depreciation and amortization,2025,7,737982.0
Hyper,Depreciation and amortization,2025,8,1014724.0
Hyper,Depreciation and amortization,2025,9,1014724.0
Hyper,Depreciation and amortization,2025,10,1014724.0
Hyper,Depreciation and amortization,2025,11,1014724.0
Hyper,Depreciation and amortization,2025,12,1014724.0
Hyper,Financial income (expenses) net,2025,7,11838.789999999999
Hyper,Financial income (expenses) net,2025,8,-394.7900000000515
Hyper,Financial income (expenses) net,2025,9,129790.56999999999
Hyper,Financial income (expenses) net,2025,10,54048.61
Hyper,Financial income (expenses) net,2025,11,-23317.559999999998
Hyper,Financial income (expenses) net,2025,12,11680.039999999997
Hyper,General and administrative expenses,2025,7,1624.33
Hyper,General and administrative expenses,2025,8,46147.26
Hyper,General and administrative expenses,2025,9,38859.6
Hyper,General and administrative expenses,2025,10,21203.870000000003
Hyper,General and administrative expenses,2025,11,36011.61
Hyper,General and administrative expenses,2025,12,17040.36
Hyper,Marketing and selling expenses,2025,7,142.0
Hyper,Marketing and selling expenses,2025,9,142.0
Hyper,Net Revenue,2025,7,-4650475.13
Hyper,Net Revenue,2025,8,-4567469.55
Hyper,Net Revenue,2025,9,-4860323.09
Hyper,Net Revenue,2025,10,-4719360.6
Hyper,Net Revenue,2025,11,-4120434.49
Hyper,Net Revenue,2025,12,-4126092.61
Hyper,NÃO CLASSIFICADO,2025,7,21236.11
Hyper,NÃO CLASSIFICADO,2025,8,226958.41000000003
Hyper,NÃO CLASSIFICADO,2025,9,-221743.72000000003
Hyper,NÃO CLASSIFICADO,2025,10,1929.01
Hyper,NÃO CLASSIFICADO,2025,11,1.4551915228366852e-11
Hyper,NÃO CLASSIFICADO,2025,12,5.229594535194337e-12
Hyper,Occupancy expenses,2025,7,160.0
Hyper,Occupancy expenses,2025,10,1716.99
Hyper,Other operating income (expenses) net,2025,7,-8868.630000000001
Hyper,Other operating income (expenses) net,2025,10,-0.02
Hyper,Payroll costs,2025,7,2912465.92
Hyper,Payroll costs,2025,8,3020192.46
Hyper,Payroll costs,2025,9,2847121.12
Hyper,Payroll costs,2025,10,2679352.58
Hyper,Payroll costs,2025,11,2600817.79
Hyper,Payroll costs,2025,12,2855723.6300000004
Hyper,Payroll expenses,2025,7,390500.13
Hyper,Payroll expenses,2025,8,1012888.55
Hyper,Payroll expenses,2025,9,531834.98
Hyper,Payroll expenses,2025,10,380781.86
Hyper,Payroll expenses,2025,11,843723.21
Hyper,Payroll expenses,2025,12,430245.49
Hyper,Tax expenses,2025,7,226.68
Hyper,Third-party costs,2025,7,137617.55
Hyper,Third-party costs,2025,8,482.26999999999316
Hyper,Third-party costs,2025,9,59149.29000000001
Hyper,Third-party costs,2025,10,45639.36
Hyper,Third-party costs,2025,11,191781.91999999998
Hyper,Third-party costs,2025,12,145639.84
Hyper,Third-party expenses,2025,7,14404.099999999999
Hyper,Third-party expenses,2025,8,6751.01
Hyper,Third-party expenses,2025,9,59382.96
Hyper,Third-party expenses,2025,10,7392.12
Hyper,Third-party expenses,2025,12,10471.73
Hyper,Travel expenses,2025,7,7673.42
